team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
BVB 09 Borussia Dortmund,Borussia Dortmund,2022/2023,Germany,34,17,17,0,22,14,8,5,2,3,7,1,6,2.09,2.59,1.59,2,1,2,2,83,44,39,127,72,55,55,28,17,27,38,1,37,28,55,70,90,57,12,7,5,19,10,9,3,0,3,24,15,9,227,108,119,65,32,33,59,58,59,561,284,277,264,135,129,297,149,148,320,157,163,43,31,12,22,7,15,21,24,-3,18,12,6,8,3,5,8,2,6,1.82,2.29,1.35,3.74,4.24,3.24,2.44,3.24,1.65,1.29,1,1.59,1.91,2.24,1.59,1.26,1.82,0.71,0.65,0.41,0.88,34,29,24,17,12,8,17,14,14,11,8,5,17,15,10,6,4,3,0,5,10,17,22,26,0,3,3,6,9,12,0,2,7,11,13,14,100,85,71,50,35,24,100,82,82,65,47,29,100,88,59,35,24,18,0,15,29,50,65,76,0,18,18,35,53,71,0,12,41,65,76,82,31,19,9,16,11,7,15,8,2,91,56,26,94,65,41,88,47,12,65,82,47,28,35,41,29,56,59,53,9,0,18,71,88,53,20,12,8,59,71,47,10,3,7,29,18,41,7,3,4,21,18,24,53,71,35,24,18,29,24,12,35,6.68,6.35,7.00,1.91,1.88,1.94,94,79,71,65,56,44,35,24,2.05,2.10,2.01,1.49,1.30,1.67,109,6,11,8,12,7,8,6,11,14,6,3,6,3,8,3,1,6,8,15,12,18,21,6,35,18
1. FSV Mainz 05,Mainz 05,2022/2023,Germany,34,17,17,0,12,6,6,10,6,4,12,5,7,1.35,1.41,1.29,9,11,8,9,54,55,-1,109,56,53,31,23,25,30,6,-7,57,49,67,56,61,51,7,4,3,22,11,11,6,3,3,18,10,8,155,76,79,71,28,43,45,47,42,430,234,196,185,106,79,245,128,117,442,218,224,25,14,11,27,10,17,-2,4,-6,12,7,5,10,5,5,12,5,7,1.35,1.53,1.18,3.21,3.29,3.12,1.59,1.82,1.35,1.62,1.47,1.76,1.53,1.41,1.65,0.74,0.82,0.65,0.79,0.59,1,33,30,22,12,7,2,16,15,11,8,4,1,17,15,11,4,3,1,1,4,12,22,27,32,1,2,6,9,13,16,0,2,6,13,14,16,97,88,65,35,21,6,94,88,65,47,24,6,100,88,65,24,18,6,3,12,35,65,79,94,6,12,35,53,76,94,0,12,35,76,82,94,29,15,7,14,6,4,15,9,3,85,44,21,82,35,24,88,53,18,35,35,35,12,21,24,18,65,65,65,18,18,18,53,59,47,15,9,6,44,53,35,16,8,8,47,47,47,8,3,5,24,18,29,35,41,29,29,29,29,35,29,41,4.56,4.47,4.65,2.09,1.65,2.53,74,59,44,28,24,24,18,9,1.51,1.67,1.35,1.52,1.30,1.73,79,3,4,8,7,4,7,4,6,11,5,3,7,9,3,7,6,5,10,29,35,24,35,29,41,6
FC Schalke 04,Schalke 04,2022/2023,Germany,34,17,17,0,7,5,2,10,5,5,17,7,10,0.91,1.18,0.65,17,17,15,17,35,71,-36,106,59,47,23,12,36,35,-13,-23,87,67,127,43,42,44,7,3,4,17,10,7,15,6,9,8,6,2,169,93,76,70,36,34,46,46,45,452,241,211,166,93,73,286,148,138,431,219,212,14,10,4,29,17,12,-15,-7,-8,7,5,2,12,4,8,15,8,7,0.97,1.12,0.82,3.12,3.47,2.76,1.03,1.35,0.71,2.09,2.12,2.06,1.26,1.59,0.94,0.41,0.59,0.24,0.85,1,0.71,29,27,21,14,7,5,15,14,12,8,4,3,14,13,9,6,3,2,5,7,13,20,27,29,2,3,5,9,13,14,3,4,8,11,14,15,85,79,62,41,21,15,88,82,71,47,24,18,82,76,53,35,18,12,15,21,38,59,79,85,12,18,29,53,76,82,18,24,47,65,82,88,24,12,5,14,7,4,10,5,1,71,35,15,82,41,24,59,29,6,21,29,12,15,21,18,24,50,59,41,44,35,53,24,35,12,16,7,9,47,41,53,22,9,13,65,53,76,6,4,2,18,24,12,21,29,12,35,24,47,44,47,41,4.97,5.47,4.47,2.06,2.12,2.00,94,85,82,65,56,44,28,24,1.49,1.59,1.39,1.74,1.62,1.86,68,4,1,4,4,4,2,1,5,10,5,5,7,5,12,9,7,7,14,29,29,29,50,41,59,15
SV Werder Bremen,Werder Bremen,2022/2023,Germany,34,17,17,0,10,5,5,6,2,4,18,10,8,1.06,1,1.12,13,18,9,13,51,64,-13,115,54,61,26,25,28,36,-2,-11,60,59,61,48,55,42,4,2,2,24,12,12,6,3,3,15,9,6,109,49,60,77,36,41,49,52,47,401,211,190,180,100,80,221,111,110,418,197,221,22,13,9,23,9,14,-1,4,-5,7,4,3,19,9,10,8,4,4,1.18,1.24,1.12,3.38,3.18,3.59,1.5,1.53,1.47,1.88,1.65,2.12,1.32,1.29,1.35,0.65,0.76,0.53,0.68,0.53,0.82,34,31,23,11,7,5,17,15,12,4,3,2,17,16,11,7,4,3,0,3,11,23,27,29,0,2,5,13,14,15,0,1,6,10,13,14,100,91,68,32,21,15,100,88,71,24,18,12,100,94,65,41,24,18,0,9,32,68,79,85,0,12,29,76,82,88,0,6,35,59,76,82,20,12,5,11,6,2,9,6,3,59,35,15,65,35,12,53,35,18,29,29,29,7,12,12,12,71,71,71,18,18,18,44,53,35,20,10,10,59,59,59,19,9,10,56,53,59,9,4,5,26,24,29,21,24,18,56,53,59,24,24,24,3.21,2.88,3.53,2.26,2.12,2.41,74,59,50,44,32,28,12,9,1.24,1.34,1.15,1.75,1.54,1.96,106,5,7,7,2,2,4,3,6,15,5,4,5,8,6,6,8,8,14,18,12,24,53,59,47,6
FC Bayern München,Bayern München,2022/2023,Germany,34,17,17,0,21,11,10,8,5,3,5,1,4,2.09,2.24,1.94,1,4,1,1,92,38,54,130,70,60,53,39,17,21,36,18,33,29,39,80,90,73,11,7,4,22,10,12,1,0,1,28,14,14,229,140,89,51,22,29,65,66,63,628,358,270,298,180,118,330,178,152,297,148,149,57,31,26,10,5,5,47,26,21,26,14,12,6,1,5,2,2,0,2.47,2.53,2.41,3.82,4.12,3.53,2.71,3.12,2.29,1.12,1,1.24,1.97,2.12,1.82,1.68,1.82,1.53,0.29,0.29,0.29,34,32,22,16,11,8,17,17,11,9,6,5,17,15,11,7,5,3,0,2,12,18,23,26,0,0,6,8,11,12,0,2,6,10,12,14,100,94,65,47,32,24,100,100,65,53,35,29,100,88,65,41,29,18,0,6,35,53,68,76,0,0,35,47,65,71,0,12,35,59,71,82,30,16,10,16,9,6,14,7,4,88,47,29,94,53,35,82,41,24,62,65,59,13,32,41,24,65,59,71,3,0,6,82,82,82,25,12,13,74,71,76,6,3,3,18,18,18,7,3,4,21,18,24,76,82,71,18,6,29,6,12,0,6.74,8.24,5.24,1.5,1.29,1.71,91,88,76,59,47,38,24,12,2.45,2.83,2.08,1.18,1.02,1.33,141,8,12,12,18,9,8,6,9,10,3,2,0,1,4,6,4,8,10,24,29,18,15,6,24,9
Borussia VfL Mönchengladbach,Borussia M'gladbach,2022/2023,Germany,34,17,17,0,11,10,1,10,3,7,13,4,9,1.26,1.94,0.59,10,6,16,10,52,55,-3,107,51,56,33,19,18,37,15,-18,59,46,80,56,85,41,9,7,2,20,8,12,9,4,5,16,10,6,151,86,65,66,31,35,54,56,51,420,250,170,212,119,93,208,131,77,317,171,146,23,16,7,28,11,17,-5,5,-10,12,8,4,13,7,6,9,2,7,1.44,1.82,1.06,3.15,3,3.29,1.53,1.94,1.12,1.62,1.06,2.18,1.5,1.59,1.41,0.68,0.94,0.41,0.82,0.65,1,30,26,21,16,8,4,15,12,9,8,4,2,15,14,12,8,4,2,4,8,13,18,26,30,2,5,8,9,13,15,2,3,5,9,13,15,88,76,62,47,24,12,88,71,53,47,24,12,88,82,71,47,24,12,12,24,38,53,76,88,12,29,47,53,76,88,12,18,29,53,76,88,25,16,6,12,9,4,13,7,2,74,47,18,71,53,24,76,41,12,32,59,6,31,26,41,12,59,47,71,26,24,29,47,59,35,18,10,8,53,59,47,18,7,11,53,41,65,7,5,2,21,29,12,35,47,24,38,41,35,26,12,41,4.44,5.06,3.82,1.94,1.82,2.06,76,74,68,59,53,32,24,12,1.47,1.72,1.22,1.76,1.45,2.07,68,4,5,4,7,7,3,3,9,10,5,7,7,6,4,4,3,6,13,29,18,41,38,24,53,3
Bayer 04 Leverkusen,Bayer Leverkusen,2022/2023,Germany,34,17,17,0,14,8,6,8,3,5,12,6,6,1.47,1.59,1.35,6,8,6,6,57,49,8,106,58,48,35,22,23,26,12,-4,54,44,70,63,67,59,9,5,4,18,10,8,9,2,7,16,11,5,139,80,59,84,37,47,52,54,51,450,252,198,207,123,84,243,129,114,374,190,184,23,16,7,21,10,11,2,6,-4,11,8,3,11,4,7,12,5,7,1.29,1.65,0.94,3.12,3.41,2.82,1.68,2.06,1.29,1.44,1.35,1.53,1.29,1.53,1.06,0.68,0.94,0.41,0.62,0.59,0.65,32,30,22,14,7,1,17,17,12,8,4,0,15,13,10,6,3,1,2,4,12,20,27,33,0,0,5,9,13,17,2,4,7,11,14,16,94,88,65,41,21,3,100,100,71,47,24,0,88,76,59,35,18,6,6,12,35,59,79,97,0,0,29,53,76,100,12,24,41,65,82,94,26,14,4,15,9,2,11,5,2,76,41,12,88,53,12,65,29,12,41,47,35,15,26,29,24,53,59,47,26,12,41,47,65,29,19,10,9,56,59,53,18,5,13,53,29,76,5,4,1,15,24,6,32,47,18,32,24,41,35,29,41,4.09,4.71,3.47,2.47,2.18,2.76,65,47,35,28,21,15,6,3,1.56,1.75,1.36,1.45,1.26,1.64,76,3,5,5,6,8,11,7,6,6,3,4,6,6,3,8,2,6,11,24,18,29,35,35,35,3
1. FC Köln,Köln,2022/2023,Germany,34,17,17,0,10,6,4,12,5,7,12,6,6,1.24,1.35,1.12,11,12,10,11,49,54,-5,103,48,55,28,21,20,34,8,-13,63,55,73,57,76,45,6,4,2,20,9,11,13,7,6,11,6,5,205,117,88,75,35,40,50,54,46,433,254,179,184,105,79,249,149,100,389,200,189,24,10,14,27,11,16,-3,-1,-2,9,3,6,12,7,5,13,7,6,1.15,0.94,1.35,3.03,2.82,3.24,1.44,1.65,1.24,1.59,1.18,2,1.5,1.24,1.76,0.71,0.59,0.82,0.79,0.65,0.94,29,27,17,12,8,5,14,12,8,5,4,2,15,15,9,7,4,3,5,7,17,22,26,29,3,5,9,12,13,15,2,2,8,10,13,14,85,79,50,35,24,15,82,71,47,29,24,12,88,88,53,41,24,18,15,21,50,65,76,85,18,29,53,71,76,88,12,12,47,59,76,82,24,11,8,11,3,2,13,8,6,71,32,24,65,18,12,76,47,35,29,35,24,21,18,24,12,59,53,65,38,41,35,32,35,29,14,7,7,41,41,41,21,13,8,62,76,47,9,3,6,26,18,35,26,18,35,35,41,29,38,41,35,6.03,6.88,5.18,2.21,2.06,2.35,91,79,74,56,50,41,28,24,1.54,1.79,1.29,1.48,1.25,1.70,82,4,5,4,8,6,5,3,5,9,8,6,3,9,2,5,6,10,5,35,29,41,35,35,35,15
SC Freiburg,Freiburg,2022/2023,Germany,34,17,17,0,17,10,7,8,4,4,9,3,6,1.74,2,1.47,5,5,4,5,51,44,7,95,41,54,28,23,13,31,15,-8,60,55,67,70,118,49,13,6,7,17,9,8,7,3,4,20,12,8,141,67,74,64,29,35,48,49,47,446,253,193,212,123,89,234,130,104,387,200,187,19,13,6,14,3,11,5,10,-5,11,7,4,17,8,9,6,2,4,1.47,1.71,1.24,2.79,2.41,3.18,1.5,1.65,1.35,1.29,0.76,1.82,0.97,0.94,1,0.56,0.76,0.35,0.41,0.18,0.65,31,26,17,12,6,3,16,13,7,4,1,0,15,13,10,8,5,3,3,8,17,22,28,31,1,4,10,13,16,17,2,4,7,9,12,14,91,76,50,35,18,9,94,76,41,24,6,0,88,76,59,47,29,18,9,24,50,65,82,91,6,24,59,76,94,100,12,24,41,53,71,82,19,9,4,9,4,2,10,5,2,56,26,12,53,24,12,59,29,12,50,59,41,26,38,35,41,50,53,47,21,18,24,59,71,47,25,14,11,74,82,65,21,10,11,62,59,65,3,1,2,9,6,12,32,41,24,50,47,53,18,12,24,4.15,3.94,4.35,1.88,1.71,2.06,76,65,41,38,26,18,12,6,1.63,1.85,1.39,1.53,1.40,1.65,68,5,3,3,4,9,10,6,7,4,2,2,4,5,4,8,4,7,8,24,24,24,26,18,35,3
VfL Wolfsburg,Wolfsburg,2022/2023,Germany,34,17,17,0,13,6,7,10,7,3,11,4,7,1.44,1.47,1.41,8,10,5,8,57,48,9,105,59,46,34,23,25,23,9,0,54,45,67,64,61,67,12,6,6,15,10,5,10,3,7,16,9,7,153,82,71,63,30,33,51,54,47,433,260,173,186,109,77,247,151,96,387,190,197,30,19,11,26,16,10,4,3,1,11,6,5,13,6,7,10,5,5,1.35,1.41,1.29,3.09,3.47,2.71,1.68,2,1.35,1.41,1.47,1.35,1.65,2.06,1.24,0.88,1.12,0.65,0.76,0.94,0.59,31,29,20,13,7,5,15,15,13,9,4,3,16,14,7,4,3,2,3,5,14,21,27,29,2,2,4,8,13,14,1,3,10,13,14,15,91,85,59,38,21,15,88,88,76,53,24,18,94,82,41,24,18,12,9,15,41,62,79,85,12,12,24,47,76,82,6,18,59,76,82,88,26,16,10,14,10,7,12,6,3,76,47,29,82,59,41,71,35,18,38,35,41,8,35,35,35,44,59,29,29,18,41,47,53,41,19,9,10,56,53,59,15,5,10,44,29,59,8,6,2,24,35,12,32,35,29,38,35,41,29,29,29,4.50,4.82,4.18,1.85,1.76,1.94,91,82,68,59,50,41,28,15,1.50,1.75,1.25,1.62,1.40,1.85,76,9,3,7,7,4,7,3,7,10,3,6,8,5,5,5,3,7,6,29,41,18,32,24,41,15
