team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
AS Monaco FC,Monaco,2022/2023,Monaco,38,19,19,0,19,9,10,8,3,5,11,7,4,1.71,1.58,1.84,6,9,3,6,70,58,12,128,70,58,37,33,33,25,4,8,49,46,52,59,52,68,9,3,6,24,13,11,6,4,2,25,11,14,166,79,87,68,32,36,48,48,48,495,234,261,249,120,129,246,114,132,489,241,248,35,20,15,20,13,7,15,7,8,15,6,9,16,8,8,7,5,2,1.61,1.37,1.84,3.37,3.68,3.05,1.84,1.95,1.74,1.53,1.74,1.32,1.45,1.74,1.16,0.92,1.05,0.79,0.53,0.68,0.37,37,34,24,16,9,4,18,16,13,10,7,3,19,18,11,6,2,1,1,4,14,22,29,34,1,3,6,9,12,16,0,1,8,13,17,18,97,89,63,42,24,11,95,84,68,53,37,16,100,95,58,32,11,5,3,11,37,58,76,89,5,16,32,47,63,84,0,5,42,68,89,95,26,16,8,12,10,7,14,6,1,68,42,21,63,53,37,74,32,5,50,47,53,-4,24,16,32,63,68,58,16,21,11,66,58,74,25,11,14,66,58,74,16,9,7,42,47,37,9,6,3,24,32,16,39,32,47,42,42,42,18,26,11,4.37,4.16,4.58,1.79,1.68,1.89,79,55,47,32,21,18,13,11,1.65,1.57,1.73,1.58,1.59,1.57,103,8,7,8,4,10,11,8,6,8,3,2,5,7,5,7,9,11,9,21,16,26,29,37,21,0
Olympique Lyonnais,Olympique Lyonnais,2022/2023,France,38,19,19,0,18,10,8,8,5,3,12,4,8,1.63,1.84,1.42,7,5,7,7,65,47,18,112,54,58,35,30,19,28,16,2,53,49,57,73,90,61,8,5,3,26,12,14,7,4,3,19,9,10,184,116,68,65,20,45,58,60,57,554,319,235,250,134,116,304,185,119,480,205,275,29,14,15,25,13,12,4,1,3,12,5,7,16,8,8,10,6,4,1.37,1.21,1.53,2.95,2.84,3.05,1.71,1.84,1.58,1.24,1,1.47,1.42,1.42,1.42,0.76,0.74,0.79,0.66,0.68,0.63,35,29,24,12,6,3,17,14,11,5,3,1,18,15,13,7,3,2,3,9,14,26,32,35,2,5,8,14,16,18,1,4,6,12,16,17,92,76,63,32,16,8,89,74,58,26,16,5,95,79,68,37,16,11,8,24,37,68,84,92,11,26,42,74,84,95,5,21,32,63,84,89,29,16,7,15,9,3,14,7,4,76,42,18,79,47,16,74,37,21,47,53,42,14,21,26,16,68,63,74,18,21,16,50,47,53,18,8,10,47,42,53,15,8,7,39,42,37,14,7,7,37,37,37,32,26,37,42,42,42,26,32,21,4.84,6.11,3.58,1.71,1.05,2.37,87,66,55,39,28,16,11,8,1.82,2.03,1.62,1.42,1.36,1.48,100,4,2,8,12,6,6,6,8,13,5,2,5,10,6,5,6,4,4,21,26,16,32,21,42,8
Paris Saint-Germain FC,PSG,2022/2023,France,38,19,19,0,27,13,14,4,2,2,7,4,3,2.24,2.16,2.32,1,4,1,1,89,40,49,129,70,59,45,44,25,15,20,29,38,38,39,86,68,114,13,5,8,22,12,10,4,2,2,28,13,15,204,101,103,63,38,25,61,61,61,596,298,298,301,157,144,295,141,154,380,195,185,45,22,23,17,11,6,28,11,17,22,10,12,11,6,5,5,3,2,2.03,1.89,2.16,3.39,3.68,3.11,2.34,2.37,2.32,1.05,1.32,0.79,1.63,1.74,1.53,1.18,1.16,1.21,0.45,0.58,0.32,37,32,26,15,9,5,19,16,12,9,7,4,18,16,14,6,2,1,1,6,12,23,29,33,0,3,7,10,12,15,1,3,5,13,17,18,97,84,68,39,24,13,100,84,63,47,37,21,95,84,74,32,11,5,3,16,32,61,76,87,0,16,37,53,63,79,5,16,26,68,89,95,32,17,9,17,9,5,15,8,4,84,45,24,89,47,26,79,42,21,71,68,74,-13,34,26,42,58,63,53,11,11,11,74,68,79,27,11,16,71,58,84,8,4,4,21,21,21,9,6,3,24,32,16,58,53,63,29,32,26,13,16,11,5.37,5.32,5.42,1.66,2,1.32,76,74,61,50,34,21,13,3,2.16,2.21,2.10,1.44,1.30,1.57,95,10,8,13,11,5,14,5,7,16,3,4,3,3,7,9,3,1,7,11,11,11,18,21,16,3
Montpellier HSC,Montpellier,2022/2023,France,38,19,19,0,15,7,8,5,3,2,18,9,9,1.32,1.26,1.37,12,14,8,12,65,62,3,127,58,69,29,36,29,33,0,3,53,59,48,55,59,52,11,4,7,22,13,9,5,2,3,21,9,12,195,99,96,86,44,42,46,45,46,456,238,218,215,115,100,241,123,118,470,231,239,29,13,16,24,9,15,5,4,1,13,6,7,13,7,6,12,6,6,1.37,1.32,1.42,3.34,3.05,3.63,1.71,1.53,1.89,1.63,1.53,1.74,1.39,1.16,1.63,0.76,0.68,0.84,0.63,0.47,0.79,38,34,24,12,8,5,19,18,13,5,3,0,19,16,11,7,5,5,0,4,14,26,30,33,0,1,6,14,16,19,0,3,8,12,14,14,100,89,63,32,21,13,100,95,68,26,16,0,100,84,58,37,26,26,0,11,37,68,79,87,0,5,32,74,84,100,0,16,42,63,74,74,29,15,5,14,5,2,15,10,3,76,39,13,74,26,11,79,53,16,39,37,42,-3,29,21,37,58,68,47,13,11,16,55,47,63,21,11,10,55,58,53,20,11,9,53,58,47,6,2,4,16,11,21,34,32,37,34,37,32,32,32,32,5.13,5.21,5.05,2.26,2.32,2.21,89,74,63,50,45,28,18,18,1.44,1.51,1.37,1.73,1.85,1.62,92,10,7,6,4,3,8,7,8,12,3,5,3,7,8,6,10,6,14,13,16,11,47,47,47,13
Toulouse FC,Toulouse,2022/2023,France,38,19,19,0,13,6,7,9,6,3,16,7,9,1.26,1.26,1.26,13,13,10,13,51,57,-6,108,54,54,27,24,27,30,0,-6,67,63,71,60,63,57,9,3,6,21,11,10,11,6,5,16,7,9,201,107,94,61,33,28,51,51,52,484,258,226,215,109,106,269,149,120,441,209,232,27,17,10,19,9,10,8,8,0,13,8,5,17,8,9,8,3,5,1.47,1.68,1.26,2.84,2.84,2.84,1.34,1.42,1.26,1.5,1.42,1.58,1.21,1.37,1.05,0.71,0.89,0.53,0.5,0.47,0.53,35,31,22,11,6,2,18,15,9,7,4,1,17,16,13,4,2,1,3,7,16,27,32,36,1,4,10,12,15,18,2,3,6,15,17,18,92,82,58,29,16,5,95,79,47,37,21,5,89,84,68,21,11,5,8,18,42,71,84,95,5,21,53,63,79,95,11,16,32,79,89,95,27,13,5,14,7,4,13,6,1,71,34,13,74,37,21,68,32,5,34,32,37,6,24,16,32,55,58,53,29,32,26,42,37,47,21,10,11,55,53,58,19,8,11,50,42,58,9,6,3,24,32,16,34,42,26,45,42,47,21,16,26,5.29,5.63,4.95,1.61,1.74,1.47,89,82,74,50,42,34,26,16,1.54,1.62,1.45,1.68,1.60,1.76,87,4,5,4,11,7,5,8,1,6,6,4,2,6,5,10,6,7,11,24,32,16,42,37,47,11
FC Nantes,Nantes,2022/2023,France,38,19,19,0,7,5,2,15,8,7,16,6,10,0.95,1.21,0.68,16,15,16,16,37,55,-18,92,46,46,20,17,26,29,-6,-12,93,86,101,62,66,59,11,5,6,18,8,10,15,8,7,11,5,6,196,116,80,69,31,38,46,47,45,471,252,219,200,106,94,271,146,125,449,223,226,13,6,7,26,11,15,-13,-5,-8,6,4,2,19,8,11,13,7,6,0.97,1.05,0.89,2.42,2.42,2.42,0.97,1.05,0.89,1.45,1.37,1.53,1.03,0.89,1.16,0.34,0.32,0.37,0.68,0.58,0.79,32,27,18,10,4,1,17,13,9,6,1,0,15,14,9,4,3,1,6,11,20,28,34,37,2,6,10,13,18,19,4,5,10,15,16,18,84,71,47,26,11,3,89,68,47,32,5,0,79,74,47,21,16,5,16,29,53,74,89,97,11,32,53,68,95,100,21,26,53,79,84,95,23,11,4,12,4,1,11,7,3,61,29,11,63,21,5,58,37,16,18,26,11,7,29,26,32,47,42,53,39,42,37,29,26,32,20,10,10,53,53,53,27,14,13,71,74,68,6,2,4,16,11,21,16,21,11,50,42,58,34,37,32,5.16,6.11,4.21,1.82,1.63,2.00,92,76,66,53,37,32,24,24,1.50,1.61,1.39,1.62,1.55,1.70,63,1,3,2,6,3,2,6,5,9,4,8,7,6,3,8,5,5,9,39,42,37,42,32,53,16
Lille OSC Métropole,Lille,2022/2023,France,38,19,19,0,19,13,6,10,4,6,9,2,7,1.76,2.26,1.26,5,3,9,5,65,44,21,109,65,44,40,25,25,19,15,6,53,43,68,78,68,90,10,5,5,24,14,10,7,1,6,20,13,7,218,110,108,83,40,43,61,60,61,585,302,283,250,133,117,335,169,166,475,227,248,26,19,7,22,12,10,4,7,-3,13,10,3,12,3,9,13,6,7,1.34,1.74,0.95,2.87,3.42,2.32,1.71,2.11,1.32,1.16,1.32,1,1.26,1.63,0.89,0.68,1,0.37,0.58,0.63,0.53,35,29,20,10,6,5,18,16,13,6,5,4,17,13,7,4,1,1,3,9,18,28,32,33,1,3,6,13,14,15,2,6,12,15,18,18,92,76,53,26,16,13,95,84,68,32,26,21,89,68,37,21,5,5,8,24,47,74,84,87,5,16,32,68,74,79,11,32,63,79,95,95,29,11,6,17,7,5,12,4,1,76,29,16,89,37,26,63,21,5,50,68,32,5,26,26,26,63,74,53,18,5,32,53,68,37,22,12,10,58,63,53,20,7,13,53,37,68,5,2,3,13,11,16,34,53,16,32,16,47,34,32,37,5.74,5.79,5.68,2.18,2.11,2.26,79,71,57,37,32,26,18,11,2.02,2.09,1.96,1.13,1.07,1.19,87,3,6,5,7,8,8,8,10,10,4,4,8,3,4,3,6,4,8,26,21,32,24,11,37,5
Stade Rennais FC,Rennes,2022/2023,France,38,19,19,0,21,15,6,5,0,5,12,4,8,1.79,2.37,1.21,4,2,12,4,69,39,30,108,57,51,43,26,14,25,29,1,49,40,66,87,122,68,13,9,4,21,7,14,5,3,2,23,14,9,174,89,85,67,26,41,56,55,57,547,288,259,235,128,107,312,160,152,460,213,247,30,17,13,16,5,11,14,12,2,18,10,8,13,8,5,7,1,6,1.76,2,1.53,2.84,3,2.68,1.82,2.26,1.37,1.03,0.74,1.32,1.21,1.16,1.26,0.79,0.89,0.68,0.42,0.26,0.58,37,31,24,11,4,1,19,15,13,6,3,1,18,16,11,5,1,0,1,7,14,27,34,37,0,4,6,13,16,18,1,3,8,14,18,19,97,82,63,29,11,3,100,79,68,32,16,5,95,84,58,26,5,0,3,18,37,71,89,97,0,21,32,68,84,95,5,16,42,74,95,100,28,11,5,14,6,1,14,5,4,74,29,13,74,32,5,74,26,21,55,79,32,26,34,47,21,55,37,74,13,16,11,61,74,47,27,15,12,71,79,63,16,6,10,42,32,53,5,3,2,13,16,11,47,53,42,34,42,26,18,5,32,4.58,4.68,4.47,1.76,1.37,2.16,82,66,53,34,18,13,5,5,1.78,1.84,1.71,1.26,1.13,1.40,84,5,8,6,7,8,9,8,9,9,1,4,5,5,2,8,4,5,5,13,0,26,32,21,42,5
Olympique de Marseille,Olympique Marseille,2022/2023,France,38,19,19,0,22,10,12,7,4,3,9,5,4,1.92,1.79,2.05,3,6,2,3,67,40,27,107,59,48,35,32,24,16,11,16,51,49,54,86,71,107,10,2,8,24,15,9,5,2,3,21,8,13,209,120,89,70,31,39,57,59,55,562,314,248,228,119,109,334,195,139,533,262,271,27,12,15,17,12,5,10,0,10,14,4,10,16,10,6,8,5,3,1.53,1.16,1.89,2.82,3.11,2.53,1.76,1.84,1.68,1.05,1.26,0.84,1.16,1.26,1.05,0.71,0.63,0.79,0.45,0.63,0.26,37,31,23,10,4,1,19,16,13,7,2,1,18,15,10,3,2,0,1,7,15,28,34,37,0,3,6,12,17,18,1,4,9,16,17,19,97,82,61,26,11,3,100,84,68,37,11,5,95,79,53,16,11,0,3,18,39,74,89,97,0,16,32,63,89,95,5,21,47,84,89,100,28,14,2,14,10,0,14,4,2,74,37,5,74,53,0,74,21,11,58,53,63,-8,26,11,42,63,79,47,13,11,16,55,42,68,23,9,14,61,47,74,18,10,8,47,53,42,7,5,2,18,26,11,37,21,53,42,53,32,21,26,16,5.50,6.32,4.68,1.84,1.63,2.05,89,74,66,47,37,28,18,5,1.82,2.00,1.66,1.36,1.34,1.38,76,5,4,3,8,14,10,5,8,10,1,4,6,2,6,3,3,5,10,18,21,16,24,26,21,3
Angers Sporting Club de l'Ouest,Angers SCO,2022/2023,France,38,19,19,0,4,3,1,6,3,3,28,13,15,0.47,0.63,0.32,20,20,20,20,33,81,-48,114,56,58,20,13,36,45,-16,-32,103,86,132,42,48,38,4,2,2,23,15,8,13,3,10,8,4,4,164,89,75,72,31,41,47,46,48,401,224,177,163,98,65,238,126,112,462,223,239,14,7,7,45,19,26,-31,-12,-19,3,2,1,10,6,4,25,11,14,0.5,0.63,0.37,3,2.95,3.05,0.87,1.05,0.68,2.13,1.89,2.37,1.55,1.37,1.74,0.37,0.37,0.37,1.18,1,1.37,36,31,26,13,6,2,18,17,14,4,2,1,18,14,12,9,4,1,2,7,12,25,32,36,1,2,5,15,17,18,1,5,7,10,15,18,95,82,68,34,16,5,95,89,74,21,11,5,95,74,63,47,21,5,5,18,32,66,84,95,5,11,26,79,89,95,5,26,37,53,79,95,34,18,6,17,8,1,17,10,5,89,47,16,89,42,5,89,53,26,11,16,5,16,11,11,11,61,79,42,34,16,53,21,21,21,7,4,3,18,21,16,25,12,13,66,63,68,10,5,5,26,26,26,8,11,5,26,32,21,66,58,74,4.32,4.68,3.95,1.89,1.63,2.16,92,74,63,39,32,24,16,13,1.02,1.14,0.89,1.60,1.51,1.68,79,3,4,3,2,3,3,5,3,7,11,5,8,16,10,10,7,5,9,16,16,16,74,68,79,5
